brand_mf,type,dealership_name,dealership_loc,dealership_evaluation,year,km,price
KIA  Cee'd,XCeed 1.6 T-GDI X-Platinum DCT,Magánszemély,(Szombathely),Minősített magánszemély,2020. 11.,25 500 km,9 999 999 Ft
MERCEDES-BENZ  GLC-osztály,GLC 250 4Matic 9G-TRONIC,Magánszemély,(Kiskunhalas),Minősített magánszemély,2017. 02.,99 914 km,10 990 000 Ft
MAZDA  CX-5,CX-5 2.5i Revolution Top AWD Aut.,Magánszemély,(Miskolc),Minősített magánszemély,2019. 11.,69 546 km,11 400 000 Ft
MERCEDES-BENZ  E-osztály,E 200 d T 9G-TRONIC,Magánszemély,(XI. kerület),Minősített magánszemély,2019. 08.,168 510 km,10 900 000 Ft
SSANGYONG  Korando,Korando 1.5 Turbo GDI Premium Plus,Magánszemély,(Budakalász),Minősített magánszemély,2022. 06.,23 129 km,10 900 000 Ft
FORD  Edge,Edge 2.0 EcoBlue Bi-Turbo Vignale Aut.,Magánszemély,(XV. kerület),Minősített magánszemély,2019. 08.,140 000 km,12 900 000 Ft
VOLVO  XC40,XC40 2.0 [T4] Inscription Geartronic,Magánszemély,(XIV. kerület),Minősített magánszemély,2019. 10.,68 940 km,13 600 000 Ft
VOLKSWAGEN  ID.3,ID.3  58kWh Max,Magánszemély,(XIII. kerület),Minősített magánszemély,2020. 10.,40 050 km,13 990 000 Ft
MERCEDES-BENZ  C-osztály,C 220 d 9G-TRONIC,Magánszemély,(XI. kerület),Minősített magánszemély,2018. 09.,40 717 km,13 990 000 Ft
JEEP  Compass,Compass 1.3 T4 4xe PHEV S Aut.,Magánszemély,(Márkó),Nem minősített eladó,2021. 01.,42 300 km,13 500 000 Ft
BMW  5-ös sorozat,540i xDrive Aut.,Magánszemély,(Kaposvár),Minősített magánszemély,2018. 04.,138 305 km,14 000 000 Ft
FORD  Transit,Tourneo Custom 2.0 TDCi 310 L1H1 Sport ,Magánszemély,(Kisharsány),Minősített magánszemély,2019. 05.,57 000 km,14 800 000 Ft
MERCEDES-BENZ  CLA-osztály,Mercedes-AMG CLA 45 4Matic 7G-DCT,Magánszemély,(Érd),Minősített magánszemély,2017. 10.,75 000 km,15 500 000 Ft
MERCEDES-BENZ  C-osztály,C 220 d 9G-TRONIC,Magánszemély,(Levél),Minősített magánszemély,2018. 10.,48 000 km,15 500 000 Ft
VOLVO  XC60,XC60 2.0 [D5] Inscription AWD Geartronic,Magánszemély,(Diósd),Minősített magánszemély,2018. 05.,60 000 km,15 900 000 Ft
BMW  5-ös sorozat,Luxury Line//Mild-Hybrid//Élő garanciával//,Magánszemély,(Érd),Minősített magánszemély,2020. 10.,54 000 km,14 500 000 Ft
AUDI  A3,A3 Sportback 40 TFSI e S line S-tronic,Magánszemély,(Tata),Minősített magánszemély,2021. 06.,42 298 km,13 990 000 Ft
