infos
85 258 km,120 LE,1560 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
136 000 km,162 LE,1598 cm3,Benzin,Lépcsőshátú,Használt,Eladó,4 ajtós,5 fő,Tiptronic
71 508 km,75 LE,1199 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
191 531 km,140 LE,1956 cm3,Dízel,Crossover,Használt,Eladó,5 ajtós,5 fő,Tiptronic
73 205 km,116 LE,1197 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
112 492 km,120 LE,1499 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
173 000 km,114 LE,1598 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Duplakuplung
139 460 km,158 LE,1498 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Tiptronic
112 000 km,95 LE,999 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
46 021 km,88 LE,1396 cm3,Benzin,Egyterű,Használt,Eladó,5 ajtós,5 fő,Manuális
186 173 km,114 LE,1598 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
76 000 km,116 LE,1197 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
135 000 km,102 LE,1499 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
150 000 km,200 LE,1598 cm3,Benzin,Egyterű,Használt,Eladó,5 ajtós,5 fő,Manuális
43 373 km,82 LE,Elektr.,Ferdehátú,Használt,Eladó,5 ajtós,4 fő,Fokozatmentes
151 385 km,150 LE,2191 cm3,Dízel,Lépcsőshátú,Használt,Eladó,4 ajtós,5 fő,Manuális
183 854 km,116 LE,1598 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
101 832 km,170 LE,1956 cm3,Dízel,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
31 417 km,83 LE,1199 cm3,Benzin,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
48 978 km,80 LE,1199 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
28 488 km,88 LE,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
81 887 km,75 LE,1497 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Fokozatmentes
117 892 km,125 LE,1395 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
164 175 km,150 LE,1968 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
158 099 km,105 LE,1499 cm3,Dízel,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
38 000 km,66 LE,999 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
96 317 km,160 LE,1498 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
195 384 km,170 LE,1956 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Tiptronic
107 348 km,186 LE,1591 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
71 924 km,104 LE,1596 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Automata
173 000 km,120 LE,1969 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
177 588 km,115 LE,1598 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
176 300 km,102 LE,1968 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,3 fő,Manuális
174 586 km,131 LE,1498 cm3,Benzin,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
43 383 km,82 LE,Elektr.,Ferdehátú,Használt,Eladó,5 ajtós,4 fő,Fokozatmentes
43 373 km,82 LE,Elektr.,Ferdehátú,Használt,Eladó,5 ajtós,4 fő,Fokozatmentes
70 930 km,112 LE,1496 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
73 000 km,114 LE,999 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
101 896 km,170 LE,1956 cm3,Dízel,Egyterű,Használt,Eladó,5 ajtós,5 fő,Manuális
94 436 km,128 LE,1597 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
161 176 km,116 LE,1598 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
178 000 km,148 LE,1968 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Duplakuplung
174 257 km,116 LE,1598 cm3,Dízel,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
67 441 km,131 LE,1332 cm3,Benzin,Egyterű,Használt,Eladó,5 ajtós,7 fő,Manuális
87 615 km,125 LE,1395 cm3,Benzin,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
79 998 km,118 LE,998 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
184 000 km,163 LE,1995 cm3,Dízel,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
61 796 km,112 LE,1598 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
