	brand_mf	type	dealership_name	dealership_loc	dealership_evaluation	year	km	price	Km	HorsePower	Engine	Fuel_type	Kialakitas	Condition	Sale	doors	people	Transmission
13834	CITROEN  Jumpy	Jumpy 2.0 HDi Multispace L2 Collection 	Bécsi Autópark Kft.	(III. kerület)	Minősített Prémium kereskedő	2014. 12.	207 000 km	3 980 000 Ft	207 000 km	128 LE	1997 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	8 fő	Manuális
13835	CITROEN  Jumpy	Jumpy 2.0 HDi Multispace L2 Collection 	Bécsi Autópark Kft.	(III. kerület)	Minősített Prémium kereskedő	2014. 12.	207 000 km	3 980 000 Ft  + Áfa	207 000 km	128 LE	1997 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	8 fő	Manuális
13836	HONDA  CR-V	CR-V 2.2i CTDi Elegance 	Zemandia Autoland	(Kiskunfélegyháza)	Minősített Prémium kereskedő	2007. 09.	81 122 km	3 990 000 Ft	81 122 km	140 LE	2204 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
13837	SEAT  Alhambra	ALHAMBRA 2.0 CR TDI Style [7 személy] Magyar Xenon Kamera Elektromos ajtók Multikormány	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2014. 02.	282 184 km	3 990 000 Ft	282 184 km	138 LE	1968 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
13838	TOYOTA  Yaris	Yaris 1.5 HSD Active (Automata) 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2013. 09.	110 697 km	3 990 000 Ft	110 697 km	75 LE	1497 cm3	Hibrid	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
13839	HYUNDAI  ix35	ix35 1.6 Life 2WD 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2012. 02.	113 200 km	3 990 000 Ft	113 200 km	135 LE	1591 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13840	PEUGEOT  Boxer	Boxer 2.2 HDi 330 CHC L2 Access 	Mex Autó Kft.	(XXII. kerület)	Minősített Prémium kereskedő	2013. 11.	318 695 km	3 790 000 Ft	318 695 km	131 LE	2198 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	7 fő	Manuális
13841	OPEL  Astra	Astra Sports Tourer 1.6 CDTI Selection 	Tormási Autóház	(Kecskemét)	Márkakereskedő	2017. 03.	111 173 km	3 990 000 Ft	111 173 km	110 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13842	VOLKSWAGEN  Golf	GOLF SPORTSVAN 1.6 TDI Comfortline Navi PDC Bluetooth Ülésfűtés 2z digitklíma	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2014. 08.	171 330 km	3 990 000 Ft	171 330 km	108 LE	1598 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13843	FORD  Mondeo	Mondeo 2.0 TDCi Business Powershift 	Mex Autó Kft.	(XXII. kerület)	Minősített Prémium kereskedő	2016. 09.	194 000 km	3 990 000 Ft	194 000 km	150 LE	1997 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
