	brand_mf	type	dealership_name	dealership_loc	dealership_evaluation	year	km	price	Km	HorsePower	Engine	Fuel_type	Kialakitas	Condition	Sale	doors	people	Transmission
13783	OPEL  Corsa	Corsa 1.4 Enjoy 	Tormási Autóház	(Kecskemét)	Márkakereskedő	2016. 08.	63 850 km	3 690 000 Ft	63 850 km	90 LE	1398 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13784	NISSAN  Qashqai	Qashqai 1.6 Tekna 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2011. 09.	127 500 km	3 690 000 Ft	127 500 km	117 LE	1598 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
13785	OPEL  Astra	Astra Sports Tourer 1.6 CDTI Enjoy 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2017. 04.	114 000 km	3 699 000 Ft	114 000 km	110 LE	1598 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13786	OPEL  Astra	Astra Sports Tourer 1.6 CDTI Enjoy 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2017. 10.	135 000 km	3 699 000 Ft	135 000 km	110 LE	1598 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13787	SKODA  Rapid	Rapid Spaceback 1.6 CR TDI Active 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2018. 01.	114 000 km	3 735 000 Ft	114 000 km	116 LE	1598 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13788	SKODA  Rapid	Rapid Spaceback 1.6 CR TDI Active 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2018. 01.	112 000 km	3 740 000 Ft	112 000 km	116 LE	1598 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13789	FIAT  Dobló	Dobló Cargo 1.3 Mjet 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2015. 03.	179 224 km	3 749 000 Ft	179 224 km	90 LE	1248 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	3 fő	Manuális
13790	OPEL  Astra	Astra Sports Tourer 1.6 CDTI Enjoy 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2017. 07.	120 000 km	3 749 000 Ft	120 000 km	110 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13791	FIAT  Dobló	Dobló Cargo 1.3 Mjet 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2015. 03.	179 224 km	3 749 000 Ft	179 224 km	90 LE	1248 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	3 fő	Manuális
13792	OPEL  Astra	Astra Sports Tourer 1.6 CDTI Enjoy 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2017. 07.	120 000 km	3 749 000 Ft	120 000 km	110 LE	1598 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13793	OPEL  Astra	Astra 1.6 CDTI Enjoy 	RoyalCar Autoker Kft.	(Szombathely)	Minősített Prémium kereskedő	2018. 05.	145 241 km	3 749 999 Ft	145 241 km	95 LE	1598 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13794	VOLKSWAGEN  Golf	Golf 2.0 TDI Highline 	B-A Autókereskedés és Autókölcsönző	(Keszthely)	Minősített Prémium kereskedő	2012. 02.	174 000 km	3 750 000 Ft	174 000 km	140 LE	1968 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13795	BMW  5-ös sorozat	520d 	Korekt-Autó Kft.	(Sopron)	Minősített Prémium kereskedő	2012. 07.	245 000 km	3 750 000 Ft	245 000 km	163 LE	1995 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	5 fő	Manuális
13796	PEUGEOT  308	308 1.5 BlueHDi Business Line E6.2 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2018. 06.	148 000 km	3 779 000 Ft	148 000 km	131 LE	1499 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13797	BMW  3-as sorozat	3-AS SOROZAT 325i (Automata) Cabrio Xenon Tempomat ProfNavi PDC Ülésfűtés Piros bőr	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2007. 08.	131 731 km	3 790 000 Ft	131 731 km	214 LE	2996 cm3	Benzin	Kabrió	Használt	Eladó	2 ajtós	4 fő	Tiptronic
13798	MAZDA  Mazda 6	Mazda 6 Sportkombi 2.2 CD Revolution 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2014. 05.	244 500 km	3 790 000 Ft	244 500 km	150 LE	2191 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13799	PEUGEOT  Partner	Partner 1.6 BlueHDi Access L1 EURO6 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2017. 05.	241 500 km	3 790 000 Ft	241 500 km	101 LE	1560 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	3 fő	Manuális
13800	OPEL  Astra	ASTRA K Sports Tourer 1.6 CDTI Start-Stop Enjoy Navigáció!Mo-i!1.Tulaj!149.233Km!ÁFÁ-s!THM10.99%!	Opticar '99 Kft.	(Szigetszentmiklós)	Márkakereskedő	2018. 03.	149 233 km	3 790 000 Ft	149 233 km	108 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13801	HYUNDAI  i30	I30 CW 1.6 CRDi LP ISG Life Mo-i - EGYGAZDÁS - AUTÓPÁLYÁS MÚLT - TÖRÉSMENTES!!!	Roland-Autó Kft.	(Edelény)	Minősített Prémium kereskedő	2018. 01.	239 341 km	3 798 000 Ft	239 341 km	108 LE	1582 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13802	VOLKSWAGEN  New Beetle	Beetle 1.2 TSI 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2011. 11.	176 874 km	3 799 000 Ft	176 874 km	105 LE	1197 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	4 fő	Manuális
13803	VOLKSWAGEN  Touran	Touran 2.0 CR TDI Highline 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2010. 08.	232 867 km	3 799 000 Ft	232 867 km	140 LE	1968 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13804	VOLKSWAGEN  Transporter	Transporter 2.5 TDI 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2009. 10.	412 363 km	3 799 000 Ft	412 363 km	131 LE	2460 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13805	FORD  Kuga	Kuga 2.0 TDCi Trend 4WD 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2009. 03.	176 532 km	3 799 000 Ft	176 532 km	136 LE	1997 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
13806	MAZDA  Mazda 6	Mazda 6 Sportkombi 2.2 CD Challenge 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2016. 01.	195 000 km	3 799 000 Ft	195 000 km	150 LE	2191 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13807	OPEL  Insignia	Insignia 2.0 CDTI Cosmo (Automata) 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 05.	135 000 km	3 799 000 Ft	135 000 km	163 LE	1956 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Tiptronic
13808	VOLKSWAGEN  Touran	Touran 2.0 CR TDI Highline 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2010. 08.	232 867 km	3 799 000 Ft	232 867 km	140 LE	1968 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13809	SMART  Forfour	Forfour 1.0 Passion 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2019. 02.	79 000 km	3 799 000 Ft	79 000 km	71 LE	999 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	4 fő	Manuális
13810	FORD  Kuga	Kuga 2.0 TDCi Trend 4WD 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2009. 03.	176 532 km	3 799 000 Ft	176 532 km	136 LE	1997 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
